Metric,Value
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.0000686905
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.000014472
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.0000686905
design_powergrid__voltage__worst,0.0000686905
design_powergrid__voltage__worst__net:VPWR,1.79993
design_powergrid__drop__worst,0.0000708967
design_powergrid__drop__worst__net:VPWR,0.0000708967
design_powergrid__voltage__worst__net:VGND,0.0000686905
design_powergrid__drop__worst__net:VGND,0.0000686905
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.000014699999999999999864192835874465714596226462163031101226806640625
ir__drop__worst,0.000070900000000000002191476167201500402370584197342395782470703125
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
